Date,Consumption,Hour
04.01.2016,25417.7,S1
04.01.2016,24373.1,S2
04.01.2016,23940.3,S3
04.01.2016,23840.5,S4
04.01.2016,24397.7,S5
04.01.2016,25687.8,S6
04.01.2016,27434.0,S7
04.01.2016,32960.5,S8
04.01.2016,37153.7,S9
04.01.2016,38584.4,S10
04.01.2016,39637.5,S11
04.01.2016,38394.2,S12
04.01.2016,39257.6,S13
04.01.2016,39640.2,S14
04.01.2016,39188.8,S15
04.01.2016,39737.4,S16
04.01.2016,39609.6,S17
04.01.2016,37597.9,S18
04.01.2016,35931.3,S19
04.01.2016,35091.1,S20
04.01.2016,34043.5,S21
04.01.2016,33664.3,S22
04.01.2016,31711.4,S23
05.01.2016,29222.4,S0
05.01.2016,27615.2,S1
05.01.2016,26313.8,S2
05.01.2016,25848.3,S3
05.01.2016,25953.3,S4
05.01.2016,26296.8,S5
05.01.2016,27087.5,S6
05.01.2016,28548.2,S7
05.01.2016,33084.1,S8
05.01.2016,36635.3,S9
05.01.2016,37755.3,S10
05.01.2016,38642.9,S11
05.01.2016,37501.3,S12
05.01.2016,37802.1,S13
05.01.2016,38067.4,S14
05.01.2016,37816.0,S15
05.01.2016,38579.9,S16
05.01.2016,38648.9,S17
05.01.2016,36934.7,S18
05.01.2016,35286.4,S19
05.01.2016,34283.5,S20
05.01.2016,33389.3,S21
05.01.2016,33343.4,S22
05.01.2016,31612.9,S23
06.01.2016,29171.6,S0
06.01.2016,27592.6,S1
06.01.2016,26559.4,S2
06.01.2016,25696.6,S3
06.01.2016,25842.1,S4
06.01.2016,25896.0,S5
06.01.2016,27069.4,S6
06.01.2016,28510.5,S7
06.01.2016,33181.4,S8
06.01.2016,36236.2,S9
06.01.2016,37191.3,S10
06.01.2016,37823.1,S11
06.01.2016,36172.5,S12
06.01.2016,36521.0,S13
06.01.2016,36825.7,S14
06.01.2016,36412.0,S15
06.01.2016,37557.9,S16
06.01.2016,37282.5,S17
06.01.2016,35810.7,S18
06.01.2016,34478.7,S19
06.01.2016,33649.0,S20
06.01.2016,32909.6,S21
06.01.2016,32891.5,S22
06.01.2016,31429.1,S23
07.01.2016,28742.5,S0
07.01.2016,27263.3,S1
07.01.2016,26300.1,S2
07.01.2016,25726.6,S3
07.01.2016,25614.5,S4
07.01.2016,25910.5,S5
07.01.2016,26941.3,S6
07.01.2016,28422.2,S7
07.01.2016,32781.7,S8
07.01.2016,35586.5,S9
07.01.2016,36479.0,S10
07.01.2016,37329.1,S11
07.01.2016,35879.1,S12
07.01.2016,36778.5,S13
07.01.2016,37355.0,S14
07.01.2016,37077.9,S15
07.01.2016,37646.1,S16
07.01.2016,37884.5,S17
07.01.2016,35829.7,S18
07.01.2016,34599.7,S19
07.01.2016,33763.2,S20
07.01.2016,32615.8,S21
07.01.2016,32717.8,S22
07.01.2016,31071.2,S23
08.01.2016,28580.0,S0
08.01.2016,27090.5,S1
08.01.2016,25953.2,S2
08.01.2016,25293.7,S3
08.01.2016,25106.2,S4
08.01.2016,25334.2,S5
08.01.2016,26316.6,S6
08.01.2016,28064.4,S7
08.01.2016,32681.0,S8
08.01.2016,35766.7,S9
08.01.2016,36821.1,S10
08.01.2016,37117.8,S11
08.01.2016,34601.0,S12
08.01.2016,36113.5,S13
08.01.2016,36535.0,S14
08.01.2016,36169.6,S15
08.01.2016,37010.6,S16
08.01.2016,37752.6,S17
08.01.2016,35909.1,S18
08.01.2016,34689.2,S19
08.01.2016,33886.5,S20
08.01.2016,33027.1,S21
08.01.2016,33198.3,S22
08.01.2016,31999.7,S23
09.01.2016,29885.2,S0
09.01.2016,28040.3,S1
09.01.2016,26791.5,S2
09.01.2016,25777.3,S3
09.01.2016,25799.8,S4
09.01.2016,26016.2,S5
09.01.2016,26430.2,S6
09.01.2016,26832.3,S7
09.01.2016,30607.6,S8
09.01.2016,33446.8,S9
09.01.2016,34770.6,S10
09.01.2016,35363.3,S11
09.01.2016,34109.9,S12
09.01.2016,33806.3,S13
09.01.2016,33503.1,S14
09.01.2016,32929.2,S15
09.01.2016,33633.1,S16
09.01.2016,35021.9,S17
09.01.2016,34384.5,S18
09.01.2016,33471.5,S19
